# Impinging Jet: H/D=2, Re=23000
# Cross wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.2000E-02
 0.4453E-01    0.3556E-02
 0.5658E-01    0.4959E-02
 0.6863E-01    0.5560E-02
 0.8068E-01    0.6363E-02
 0.9272E-01    0.7101E-02
 0.1048E+00    0.6538E-02
 0.1168E+00    0.6769E-02
 0.1289E+00    0.6339E-02
 0.1409E+00    0.6019E-02
 0.1530E+00    0.5455E-02
 0.1650E+00    0.4952E-02
 0.1771E+00    0.4290E-02
 0.1891E+00    0.3896E-02
 0.2012E+00    0.2845E-02
 0.2132E+00    0.2396E-02
 0.2253E+00    0.1723E-02
 0.2373E+00    0.1379E-02
 0.2494E+00    0.9695E-03
 0.2614E+00    0.7109E-03
 0.2735E+00    0.4520E-03
