# Impinging Jet: H/D=6, Re=70000
# Nusselt Number Data
# Expts. of Baughn et al (1992)
#  R/D        Nu/(Re**0.7)
  0.000        0.1089
  0.326        0.1015
  0.636        0.0869
  0.946        0.0796
  1.271        0.0776
  1.519        0.0773
  1.736        0.0751
  1.891        0.0729
  2.209        0.0702
  2.519        0.0675
  2.853        0.0645
  3.163        0.0601
  3.488        0.0561
  3.791        0.0527
  4.109        0.0493
  4.434        0.0466
  4.752        0.0438
  5.070        0.0404
