# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
   .3235E-01     .5554E-02
   .4435E-01     .7522E-02
   .5636E-01     .8651E-02
   .6836E-01     .9801E-02
   .8036E-01     .1104E-01
   .9236E-01     .1181E-01
   .1044E+00     .1276E-01
   .1164E+00     .1281E-01
   .1284E+00     .1323E-01
   .1404E+00     .1304E-01
   .1524E+00     .1273E-01
   .1644E+00     .1218E-01
   .1764E+00     .1191E-01
   .1884E+00     .1120E-01
   .2004E+00     .1013E-01
   .2124E+00     .9630E-02
   .2244E+00     .9160E-02
   .2364E+00     .8346E-02
   .2484E+00     .7625E-02
   .2604E+00     .7020E-02
   .2724E+00     .5907E-02
