# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .6892E-03   .1788E-01
   .1400E-02   .2186E-01
   .2112E-02   .2569E-01
   .2823E-02   .2833E-01
   .3533E-02   .2901E-01
   .4245E-02   .2975E-01
   .5668E-02   .2808E-01
   .7090E-02   .3061E-01
   .8512E-02   .2929E-01
   .9934E-02   .2721E-01
   .1278E-01   .2750E-01
   .1562E-01   .2616E-01
   .1847E-01   .2501E-01
   .2131E-01   .2365E-01
   .2554E-01   .2160E-01
   .2976E-01   .2209E-01
   .3398E-01   .2085E-01
   .4821E-01   .1858E-01
   .6243E-01   .1654E-01
   .7665E-01   .1592E-01
   .9088E-01   .1496E-01
   .1051E+00   .1475E-01
   .1336E+00   .1596E-01
   .1620E+00   .1761E-01
   .1904E+00   .2014E-01
   .2189E+00   .2467E-01
   .2473E+00   .2695E-01
   .2758E+00   .2881E-01
   .3042E+00   .3216E-01
   .3327E+00   .3311E-01
   .3611E+00   .3519E-01
   .3896E+00   .3625E-01
   .4180E+00   .3586E-01
   .4465E+00   .3706E-01
   .4749E+00   .3636E-01
