# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.7788E-03
 0.1701E-02     0.2588E-02
 0.2415E-02     0.3870E-02
 0.3129E-02     0.5288E-02
 0.3843E-02     0.6087E-02
 0.4557E-02     0.7219E-02
 0.5985E-02     0.7644E-02
 0.7413E-02     0.7792E-02
 0.8841E-02     0.7796E-02
 0.1027E-01     0.8267E-02
 0.1313E-01     0.8109E-02
 0.1598E-01     0.7947E-02
 0.1884E-01     0.7405E-02
 0.2169E-01     0.7135E-02
 0.2593E-01     0.6511E-02
 0.3017E-01     0.5943E-02
 0.3441E-01     0.5557E-02
 0.4869E-01     0.4498E-02
 0.6297E-01     0.3879E-02
 0.7725E-01     0.3688E-02
 0.9153E-01     0.3665E-02
 0.1058E+00     0.3920E-02
 0.1201E+00     0.4429E-02
 0.1344E+00     0.4882E-02
 0.1487E+00     0.5471E-02
 0.1629E+00     0.6428E-02
 0.1772E+00     0.7115E-02
 0.1915E+00     0.7670E-02
 0.2058E+00     0.9042E-02
 0.2343E+00     0.1153E-01
 0.2629E+00     0.1354E-01
 0.2915E+00     0.1636E-01
 0.3200E+00     0.1821E-01
 0.3486E+00     0.2067E-01
 0.3771E+00     0.2135E-01
