# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.4641E-01
 0.1701E-02    0.5263E-01
 0.2415E-02    0.5954E-01
 0.3129E-02    0.6468E-01
 0.3843E-02    0.6855E-01
 0.4557E-02    0.6995E-01
 0.5985E-02    0.7252E-01
 0.7413E-02    0.7230E-01
 0.8841E-02    0.7325E-01
 0.1027E-01    0.7521E-01
 0.1313E-01    0.8107E-01
 0.1598E-01    0.8403E-01
 0.1884E-01    0.9089E-01
 0.2169E-01    0.9550E-01
 0.2593E-01    0.1051E+00
 0.3017E-01    0.1153E+00
 0.3441E-01    0.1264E+00
 0.4869E-01    0.1693E+00
 0.6297E-01    0.2157E+00
 0.7725E-01    0.2596E+00
 0.9153E-01    0.3056E+00
 0.1058E+00    0.3493E+00
 0.1201E+00    0.3874E+00
 0.1344E+00    0.4281E+00
 0.1487E+00    0.4718E+00
 0.1629E+00    0.5099E+00
 0.1772E+00    0.5421E+00
 0.1915E+00    0.5791E+00
 0.2058E+00    0.6112E+00
 0.2343E+00    0.6744E+00
 0.2629E+00    0.7356E+00
 0.2915E+00    0.7914E+00
 0.3200E+00    0.8404E+00
 0.3486E+00    0.8881E+00
 0.3771E+00    0.9290E+00
