# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.2656E-02
 0.4453E-01     -.3594E-02
 0.5658E-01     -.4457E-02
 0.6863E-01     -.3900E-02
 0.8068E-01     -.4428E-02
 0.9272E-01     -.3684E-02
 0.1048E+00     -.3272E-02
 0.1168E+00     -.2332E-02
 0.1289E+00     -.1760E-02
 0.1409E+00     -.8669E-03
 0.1530E+00     -.7505E-03
 0.1650E+00     -.1828E-03
 0.1771E+00     -.3457E-04
 0.1891E+00     0.5367E-03
 0.2012E+00     0.5387E-03
 0.2132E+00     0.2199E-03
 0.2253E+00     0.4174E-03
 0.2373E+00     0.2322E-03
 0.2494E+00     0.3274E-03
 0.2614E+00     0.2166E-03
 0.2735E+00     0.1745E-03
