# Impinging Jet: H/D=2, Re=23000
# Nusselt Number Data
# Expts. of Baughn et al (1992)
#  R/D        Nu/(Re**0.7)
  0.00         0.1223
  0.32         0.1175
  0.64         0.1095
  0.78         0.0942
  0.88         0.0912
  0.94         0.0868
  1.05         0.0806
  1.26         0.0775
  1.52         0.0806
  1.69         0.0865
  1.84         0.0910
  1.94         0.0941
  2.15         0.0907
  2.36         0.0866
  2.51         0.0807
  2.67         0.0774
  2.83         0.0733
  3.15         0.0654
  3.47         0.0589
  3.79         0.0541
  4.10         0.0498
  4.41         0.0460
  4.73         0.0425
  5.05         0.0397
