# Impinging Jet: H/D=2, Re=23000
# Cross wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.7525E-03
 0.4453E-01     -.1080E-02
 0.5658E-01     -.1549E-02
 0.6863E-01     -.2112E-02
 0.8068E-01     -.2366E-02
 0.9272E-01     -.2858E-02
 0.1048E+00     -.2332E-02
 0.1168E+00     -.2411E-02
 0.1289E+00     -.1834E-02
 0.1409E+00     -.1693E-02
 0.1530E+00     -.1066E-02
 0.1650E+00     -.4964E-03
 0.1771E+00     -.9278E-04
 0.1891E+00     0.2564E-03
 0.2012E+00     0.5067E-03
 0.2132E+00     0.5236E-03
 0.2253E+00     0.6430E-03
 0.2373E+00     0.5546E-03
 0.2494E+00     0.4278E-03
 0.2614E+00     0.3011E-03
 0.2735E+00     0.1710E-03
