# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.1422E+00
 0.1701E-02    0.1756E+00
 0.2415E-02    0.2421E+00
 0.3129E-02    0.2967E+00
 0.3843E-02    0.3682E+00
 0.4557E-02    0.4356E+00
 0.5985E-02    0.5604E+00
 0.7413E-02    0.6523E+00
 0.8841E-02    0.6796E+00
 0.1027E-01    0.7539E+00
 0.1313E-01    0.8554E+00
 0.1598E-01    0.9169E+00
 0.1884E-01    0.9397E+00
 0.2169E-01    0.9527E+00
 0.2593E-01    0.9607E+00
 0.3017E-01    0.9507E+00
 0.3441E-01    0.9247E+00
 0.4869E-01    0.8356E+00
 0.6297E-01    0.7438E+00
 0.7725E-01    0.6441E+00
 0.9153E-01    0.5479E+00
 0.1058E+00    0.4589E+00
 0.1201E+00    0.3750E+00
 0.1344E+00    0.3063E+00
 0.1487E+00    0.2547E+00
 0.1629E+00    0.2017E+00
 0.1772E+00    0.1490E+00
 0.1915E+00    0.1129E+00
 0.2058E+00    0.9255E-01
 0.2343E+00    0.4862E-01
 0.2629E+00    0.3207E-01
 0.2915E+00    0.2033E-01
 0.3200E+00    0.1402E-01
 0.3486E+00    0.1138E-01
 0.3771E+00    0.8829E-02
