# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.3739E+00
 0.1701E-02    0.5205E+00
 0.2415E-02    0.6659E+00
 0.3129E-02    0.7661E+00
 0.3843E-02    0.8073E+00
 0.4557E-02    0.8999E+00
 0.5985E-02    0.1005E+01
 0.7413E-02    0.1053E+01
 0.8841E-02    0.1080E+01
 0.1027E-01    0.1088E+01
 0.1313E-01    0.1097E+01
 0.1598E-01    0.1103E+01
 0.1884E-01    0.1098E+01
 0.2169E-01    0.1091E+01
 0.2593E-01    0.1086E+01
 0.3017E-01    0.1074E+01
 0.3441E-01    0.1063E+01
 0.4869E-01    0.1022E+01
 0.6297E-01    0.9656E+00
 0.7725E-01    0.9008E+00
 0.9153E-01    0.8243E+00
 0.1058E+00    0.7398E+00
 0.1201E+00    0.6588E+00
 0.1344E+00    0.5744E+00
 0.1487E+00    0.4881E+00
 0.1629E+00    0.4109E+00
 0.1772E+00    0.3361E+00
 0.1915E+00    0.2690E+00
 0.2058E+00    0.2149E+00
 0.2343E+00    0.1264E+00
 0.2629E+00    0.7133E-01
 0.2915E+00    0.4498E-01
 0.3200E+00    0.3390E-01
 0.3486E+00    0.2655E-01
 0.3771E+00    0.2268E-01
