# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.5884E-02
 0.4453E-01     -.8447E-02
 0.5658E-01     -.1045E-01
 0.6863E-01     -.1168E-01
 0.8068E-01     -.1208E-01
 0.9272E-01     -.1231E-01
 0.1048E+00     -.1040E-01
 0.1168E+00     -.9752E-02
 0.1289E+00     -.9267E-02
 0.1409E+00     -.7333E-02
 0.1530E+00     -.6299E-02
 0.1650E+00     -.4922E-02
 0.1771E+00     -.4097E-02
 0.1891E+00     -.2619E-02
 0.2012E+00     -.1856E-02
 0.2132E+00     -.1561E-02
 0.2253E+00     -.1333E-02
 0.2373E+00     -.5770E-03
 0.2494E+00     -.3674E-03
 0.2614E+00     -.1392E-03
 0.2735E+00     -.2814E-03
