# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .6892E-03   .5575E-02
   .1400E-02   .1003E-01
   .2112E-02   .1319E-01
   .2823E-02   .1651E-01
   .3533E-02   .1840E-01
   .4245E-02   .1924E-01
   .5668E-02   .2189E-01
   .7090E-02   .2293E-01
   .8512E-02   .2282E-01
   .9934E-02   .2302E-01
   .1278E-01   .2324E-01
   .1562E-01   .2234E-01
   .1847E-01   .2272E-01
   .2131E-01   .2259E-01
   .2554E-01   .2263E-01
   .2976E-01   .2363E-01
   .3398E-01   .2200E-01
   .4821E-01   .2273E-01
   .6243E-01   .2196E-01
   .7665E-01   .2232E-01
   .9088E-01   .2247E-01
   .1051E+00   .2327E-01
   .1336E+00   .2327E-01
   .1620E+00   .2161E-01
   .1904E+00   .1908E-01
   .2189E+00   .1746E-01
   .2473E+00   .1542E-01
   .2758E+00   .1189E-01
   .3042E+00   .9664E-02
   .3327E+00   .6641E-02
   .3611E+00   .5985E-02
   .3896E+00   .4001E-02
   .4180E+00   .3198E-02
   .4465E+00   .2317E-02
   .4749E+00   .1731E-02
