# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.1629E+00
 0.1701E-02    0.1524E+00
 0.2415E-02    0.1648E+00
 0.3129E-02    0.2136E+00
 0.3843E-02    0.2693E+00
 0.4557E-02    0.3137E+00
 0.5985E-02    0.4033E+00
 0.7413E-02    0.4988E+00
 0.8841E-02    0.5871E+00
 0.1027E-01    0.6240E+00
 0.1313E-01    0.6808E+00
 0.1598E-01    0.7251E+00
 0.1884E-01    0.7659E+00
 0.2169E-01    0.7783E+00
 0.2593E-01    0.7888E+00
 0.3017E-01    0.7865E+00
 0.3441E-01    0.7825E+00
 0.4869E-01    0.7302E+00
 0.6297E-01    0.6545E+00
 0.7725E-01    0.5854E+00
 0.9153E-01    0.5143E+00
 0.1058E+00    0.4496E+00
 0.1201E+00    0.3957E+00
 0.1344E+00    0.3316E+00
 0.1487E+00    0.2864E+00
 0.1629E+00    0.2323E+00
 0.1772E+00    0.1881E+00
 0.1915E+00    0.1622E+00
 0.2058E+00    0.1283E+00
 0.2343E+00    0.7909E-01
 0.2629E+00    0.4985E-01
 0.2915E+00    0.3358E-01
 0.3200E+00    0.2810E-01
 0.3486E+00    0.2047E-01
 0.3771E+00    0.1751E-01
