# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .2768E-02   .6423E+00
   .4193E-02   .7224E+00
   .5622E-02   .7741E+00
   .7051E-02   .7976E+00
   .8480E-02   .8175E+00
   .9906E-02   .8352E+00
   .1276E-01   .8519E+00
   .1562E-01   .8659E+00
   .1848E-01   .8676E+00
   .2133E-01   .8701E+00
   .2704E-01   .8598E+00
   .3276E-01   .8405E+00
   .3847E-01   .8237E+00
   .4704E-01   .7958E+00
   .5560E-01   .7692E+00
   .6417E-01   .7384E+00
   .7274E-01   .7098E+00
   .1013E+00   .6280E+00
   .1299E+00   .5543E+00
   .1584E+00   .4876E+00
   .1870E+00   .4301E+00
   .2155E+00   .3816E+00
   .2727E+00   .3076E+00
   .3298E+00   .2452E+00
   .3869E+00   .2051E+00
   .4440E+00   .1613E+00
   .5011E+00   .1324E+00
   .5583E+00   .1155E+00
   .6154E+00   .1008E+00
   .6725E+00   .8518E-01
   .7296E+00   .8119E-01
   .7867E+00   .6908E-01
   .8439E+00   .6594E-01
   .9010E+00   .6698E-01
   .9581E+00   .6288E-01
