# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.2087E-01
 0.1701E-02     0.2904E-01
 0.2415E-02     0.3596E-01
 0.3129E-02     0.3789E-01
 0.3843E-02     0.3936E-01
 0.4557E-02     0.3700E-01
 0.5985E-02     0.3611E-01
 0.7413E-02     0.3324E-01
 0.8841E-02     0.3051E-01
 0.1027E-01     0.2690E-01
 0.1313E-01     0.2471E-01
 0.1598E-01     0.2307E-01
 0.1884E-01     0.2236E-01
 0.2169E-01     0.2224E-01
 0.2593E-01     0.2411E-01
 0.3017E-01     0.2431E-01
 0.3441E-01     0.2547E-01
 0.4869E-01     0.3266E-01
 0.6297E-01     0.3624E-01
 0.7725E-01     0.3993E-01
 0.9153E-01     0.3954E-01
 0.1058E+00     0.3809E-01
 0.1201E+00     0.3755E-01
 0.1344E+00     0.3260E-01
 0.1487E+00     0.2415E-01
 0.1629E+00     0.1985E-01
 0.1772E+00     0.1523E-01
 0.1915E+00     0.1169E-01
 0.2058E+00     0.8537E-02
 0.2343E+00     0.3934E-02
 0.2629E+00     0.1741E-02
 0.2915E+00     0.1113E-02
 0.3200E+00     0.6209E-03
 0.3486E+00     0.4201E-03
 0.3771E+00     0.3213E-03
