# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.1240E-02
 0.1701E-02     0.1939E-02
 0.2415E-02     0.2512E-02
 0.3129E-02     0.2857E-02
 0.3843E-02     0.3024E-02
 0.4557E-02     0.3005E-02
 0.5985E-02     0.3030E-02
 0.7413E-02     0.2854E-02
 0.8841E-02     0.2739E-02
 0.1027E-01     0.2737E-02
 0.1313E-01     0.2716E-02
 0.1598E-01     0.2433E-02
 0.1884E-01     0.2404E-02
 0.2169E-01     0.2187E-02
 0.2593E-01     0.2170E-02
 0.3017E-01     0.2104E-02
 0.3441E-01     0.2174E-02
 0.4869E-01     0.2495E-02
 0.6297E-01     0.2896E-02
 0.7725E-01     0.3360E-02
 0.9153E-01     0.3726E-02
 0.1058E+00     0.3753E-02
 0.1201E+00     0.3817E-02
 0.1344E+00     0.3887E-02
 0.1487E+00     0.4009E-02
 0.1629E+00     0.3794E-02
 0.1772E+00     0.4023E-02
 0.1915E+00     0.3791E-02
 0.2058E+00     0.3625E-02
 0.2343E+00     0.3503E-02
 0.2629E+00     0.3469E-02
 0.2915E+00     0.3324E-02
 0.3200E+00     0.3226E-02
 0.3486E+00     0.2972E-02
 0.3771E+00     0.2835E-02
