# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .6892E-03   .1916E+00
   .1400E-02   .2586E+00
   .2112E-02   .3222E+00
   .2823E-02   .3691E+00
   .3533E-02   .3986E+00
   .4245E-02   .4281E+00
   .5668E-02   .4710E+00
   .7090E-02   .5025E+00
   .8512E-02   .5240E+00
   .9934E-02   .5422E+00
   .1278E-01   .5582E+00
   .1562E-01   .5769E+00
   .1847E-01   .5830E+00
   .2131E-01   .5946E+00
   .2554E-01   .5939E+00
   .2976E-01   .5936E+00
   .3398E-01   .5935E+00
   .4821E-01   .5805E+00
   .6243E-01   .5555E+00
   .7665E-01   .5235E+00
   .9088E-01   .4904E+00
   .1051E+00   .4546E+00
   .1336E+00   .3813E+00
   .1620E+00   .3161E+00
   .1904E+00   .2513E+00
   .2189E+00   .1995E+00
   .2473E+00   .1568E+00
   .2758E+00   .1230E+00
   .3042E+00   .9469E-01
   .3327E+00   .8014E-01
   .3611E+00   .6347E-01
   .3896E+00   .5576E-01
   .4180E+00   .4396E-01
   .4465E+00   .4073E-01
   .4749E+00   .3446E-01
