# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .2768E-02   .7733E-02
   .3480E-02   .8232E-02
   .4193E-02   .9287E-02
   .4909E-02   .1004E-01
   .5622E-02   .1015E-01
   .6339E-02   .1106E-01
   .7764E-02   .1217E-01
   .9193E-02   .1264E-01
   .1062E-01   .1394E-01
   .1205E-01   .1395E-01
   .1491E-01   .1437E-01
   .1776E-01   .1512E-01
   .2062E-01   .1433E-01
   .2490E-01   .1425E-01
   .2919E-01   .1497E-01
   .3632E-01   .1460E-01
   .4346E-01   .1406E-01
   .5774E-01   .1453E-01
   .7202E-01   .1472E-01
   .8630E-01   .1512E-01
   .1006E+00   .1533E-01
   .1149E+00   .1583E-01
   .1434E+00   .1625E-01
   .1720E+00   .1660E-01
   .2005E+00   .1575E-01
   .2291E+00   .1473E-01
   .2577E+00   .1229E-01
   .2862E+00   .1137E-01
   .3148E+00   .9211E-02
   .3433E+00   .7538E-02
   .3719E+00   .5633E-02
   .4005E+00   .4440E-02
   .4290E+00   .3055E-02
   .4576E+00   .2610E-02
   .4861E+00   .1994E-02
