# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.2893E-02
 0.4453E-01     -.5834E-02
 0.5658E-01     -.7567E-02
 0.6863E-01     -.9229E-02
 0.8068E-01     -.1014E-01
 0.9272E-01     -.1125E-01
 0.1048E+00     -.1007E-01
 0.1168E+00     -.1170E-01
 0.1289E+00     -.1052E-01
 0.1409E+00     -.1030E-01
 0.1530E+00     -.9764E-02
 0.1650E+00     -.8976E-02
 0.1771E+00     -.7764E-02
 0.1891E+00     -.7017E-02
 0.2012E+00     -.5946E-02
 0.2132E+00     -.5279E-02
 0.2253E+00     -.4355E-02
 0.2373E+00     -.3621E-02
 0.2494E+00     -.3208E-02
 0.2614E+00     -.2225E-02
 0.2735E+00     -.1958E-02
