# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.1884E-02
 0.1701E-02     0.3733E-02
 0.2415E-02     0.5300E-02
 0.3129E-02     0.8581E-02
 0.3843E-02     0.9437E-02
 0.4557E-02     0.1292E-01
 0.5985E-02     0.1797E-01
 0.7413E-02     0.2086E-01
 0.8841E-02     0.2265E-01
 0.1027E-01     0.2425E-01
 0.1313E-01     0.2504E-01
 0.1598E-01     0.2487E-01
 0.1884E-01     0.2562E-01
 0.2169E-01     0.2418E-01
 0.2593E-01     0.2511E-01
 0.3017E-01     0.2528E-01
 0.3441E-01     0.2553E-01
 0.4869E-01     0.2586E-01
 0.6297E-01     0.2815E-01
 0.7725E-01     0.2935E-01
 0.9153E-01     0.2994E-01
 0.1058E+00     0.2938E-01
 0.1201E+00     0.2855E-01
 0.1344E+00     0.2785E-01
 0.1487E+00     0.2569E-01
 0.1629E+00     0.2323E-01
 0.1772E+00     0.2237E-01
 0.1915E+00     0.1943E-01
 0.2058E+00     0.1599E-01
 0.2343E+00     0.1090E-01
 0.2629E+00     0.7278E-02
 0.2915E+00     0.3997E-02
 0.3200E+00     0.2009E-02
 0.3486E+00     0.1276E-02
 0.3771E+00     0.7937E-03
