# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .6892E-03   .1361E+00
   .1400E-02   .1849E+00
   .2112E-02   .2320E+00
   .2823E-02   .2700E+00
   .3533E-02   .3015E+00
   .4245E-02   .3270E+00
   .5668E-02   .3613E+00
   .7090E-02   .3867E+00
   .8512E-02   .4039E+00
   .9934E-02   .4221E+00
   .1278E-01   .4431E+00
   .1562E-01   .4515E+00
   .1847E-01   .4679E+00
   .2131E-01   .4714E+00
   .2554E-01   .4782E+00
   .2976E-01   .4817E+00
   .3398E-01   .4840E+00
   .4821E-01   .4910E+00
   .6243E-01   .4739E+00
   .7665E-01   .4558E+00
   .9088E-01   .4412E+00
   .1051E+00   .4113E+00
   .1336E+00   .3627E+00
   .1620E+00   .3133E+00
   .1904E+00   .2649E+00
   .2189E+00   .2248E+00
   .2473E+00   .1863E+00
   .2758E+00   .1483E+00
   .3042E+00   .1199E+00
   .3327E+00   .9805E-01
   .3611E+00   .8536E-01
   .3896E+00   .6758E-01
   .4180E+00   .5899E-01
   .4465E+00   .5054E-01
   .4749E+00   .4290E-01
