# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .2768E-02   .1647E-01
   .4193E-02   .1765E-01
   .5622E-02   .1835E-01
   .7051E-02   .1887E-01
   .8480E-02   .1924E-01
   .9906E-02   .1899E-01
   .1276E-01   .2018E-01
   .1562E-01   .1986E-01
   .1848E-01   .1876E-01
   .2133E-01   .1920E-01
   .2704E-01   .1826E-01
   .3276E-01   .1791E-01
   .3847E-01   .1796E-01
   .4704E-01   .1674E-01
   .5560E-01   .1645E-01
   .6417E-01   .1676E-01
   .7274E-01   .1597E-01
   .1013E+00   .1555E-01
   .1299E+00   .1377E-01
   .1584E+00   .1300E-01
   .1870E+00   .1145E-01
   .2155E+00   .9689E-02
   .2727E+00   .8402E-02
   .3298E+00   .6867E-02
   .3869E+00   .6145E-02
   .4440E+00   .5297E-02
   .5011E+00   .4968E-02
   .5583E+00   .4865E-02
   .6154E+00   .4556E-02
   .6725E+00   .3879E-02
   .7296E+00   .3919E-02
   .7867E+00   .3566E-02
   .8439E+00   .3408E-02
   .9010E+00   .3340E-02
   .9581E+00   .3103E-02
