# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .2768E-02   .2274E+00
   .3480E-02   .2421E+00
   .4193E-02   .2494E+00
   .4909E-02   .2655E+00
   .5622E-02   .2812E+00
   .6339E-02   .2873E+00
   .7764E-02   .3205E+00
   .9193E-02   .3470E+00
   .1062E-01   .3679E+00
   .1205E-01   .3854E+00
   .1491E-01   .4022E+00
   .1776E-01   .4275E+00
   .2062E-01   .4476E+00
   .2490E-01   .4539E+00
   .2919E-01   .4606E+00
   .3632E-01   .4687E+00
   .4346E-01   .4746E+00
   .5774E-01   .4796E+00
   .7202E-01   .4660E+00
   .8630E-01   .4563E+00
   .1006E+00   .4337E+00
   .1149E+00   .4188E+00
   .1434E+00   .3720E+00
   .1720E+00   .3313E+00
   .2005E+00   .2863E+00
   .2291E+00   .2479E+00
   .2577E+00   .2071E+00
   .2862E+00   .1720E+00
   .3148E+00   .1428E+00
   .3433E+00   .1167E+00
   .3719E+00   .9501E-01
   .4005E+00   .7783E-01
   .4290E+00   .6317E-01
   .4576E+00   .5525E-01
   .4861E+00   .4814E-01
