# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.1865E-02
 0.1701E-02     0.3742E-02
 0.2415E-02     0.5965E-02
 0.3129E-02     0.8066E-02
 0.3843E-02     0.1051E-01
 0.4557E-02     0.1314E-01
 0.5985E-02     0.1522E-01
 0.7413E-02     0.1451E-01
 0.8841E-02     0.1358E-01
 0.1027E-01     0.1210E-01
 0.1313E-01     0.1166E-01
 0.1598E-01     0.1189E-01
 0.1884E-01     0.1185E-01
 0.2169E-01     0.1169E-01
 0.2593E-01     0.1158E-01
 0.3017E-01     0.1098E-01
 0.3441E-01     0.1021E-01
 0.4869E-01     0.9983E-02
 0.6297E-01     0.1087E-01
 0.7725E-01     0.1368E-01
 0.9153E-01     0.1603E-01
 0.1058E+00     0.1762E-01
 0.1201E+00     0.1904E-01
 0.1344E+00     0.1961E-01
 0.1487E+00     0.1943E-01
 0.1629E+00     0.1812E-01
 0.1772E+00     0.1494E-01
 0.1915E+00     0.1373E-01
 0.2058E+00     0.1119E-01
 0.2343E+00     0.6763E-02
 0.2629E+00     0.3103E-02
 0.2915E+00     0.1203E-02
 0.3200E+00     0.4764E-03
 0.3486E+00     0.1995E-03
 0.3771E+00     0.1195E-03
