# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.1199E-01
 0.4453E-01    0.1258E-01
 0.5658E-01    0.1478E-01
 0.6863E-01    0.1684E-01
 0.8068E-01    0.1711E-01
 0.9272E-01    0.1784E-01
 0.1048E+00    0.1720E-01
 0.1168E+00    0.1801E-01
 0.1289E+00    0.1569E-01
 0.1409E+00    0.1533E-01
 0.1530E+00    0.1378E-01
 0.1650E+00    0.1284E-01
 0.1771E+00    0.1112E-01
 0.1891E+00    0.1029E-01
 0.2012E+00    0.8057E-02
 0.2132E+00    0.7319E-02
 0.2253E+00    0.6021E-02
 0.2373E+00    0.5291E-02
 0.2494E+00    0.4258E-02
 0.2614E+00    0.3311E-02
 0.2735E+00    0.2845E-02
