# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
   .3235E-01     .6070E-02
   .3658E-01     .7079E-02
   .4080E-01     .7936E-02
   .4502E-01     .8621E-02
   .5702E-01     .1063E-01
   .6902E-01     .1211E-01
   .8103E-01     .1310E-01
   .9303E-01     .1489E-01
   .1050E+00     .1482E-01
   .1170E+00     .1549E-01
   .1290E+00     .1553E-01
   .1410E+00     .1475E-01
   .1530E+00     .1513E-01
   .1650E+00     .1419E-01
   .1770E+00     .1439E-01
   .1890E+00     .1430E-01
   .2010E+00     .1365E-01
   .2130E+00     .1343E-01
   .2250E+00     .1344E-01
   .2370E+00     .1355E-01
   .2490E+00     .1381E-01
