# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.8091E-03
 0.1701E-02     0.3651E-02
 0.2415E-02     0.5258E-02
 0.3129E-02     0.9752E-02
 0.3843E-02     0.1539E-01
 0.4557E-02     0.1842E-01
 0.5985E-02     0.2480E-01
 0.7413E-02     0.2947E-01
 0.8841E-02     0.3262E-01
 0.1027E-01     0.3273E-01
 0.1313E-01     0.3293E-01
 0.1598E-01     0.3263E-01
 0.1884E-01     0.3165E-01
 0.2169E-01     0.3261E-01
 0.2593E-01     0.3267E-01
 0.3017E-01     0.3231E-01
 0.3441E-01     0.3348E-01
 0.4869E-01     0.3861E-01
 0.6297E-01     0.4344E-01
 0.7725E-01     0.4402E-01
 0.9153E-01     0.4261E-01
 0.1058E+00     0.3917E-01
 0.1201E+00     0.3883E-01
 0.1344E+00     0.3405E-01
 0.1487E+00     0.3065E-01
 0.1629E+00     0.2578E-01
 0.1772E+00     0.2125E-01
 0.1915E+00     0.1776E-01
 0.2058E+00     0.1401E-01
 0.2343E+00     0.7050E-02
 0.2629E+00     0.3193E-02
 0.2915E+00     0.1514E-02
 0.3200E+00     0.1090E-02
 0.3486E+00     0.4009E-03
 0.3771E+00     0.2492E-03
