# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .2768E-02   .3333E+00
   .3480E-02   .4101E+00
   .4193E-02   .4256E+00
   .4909E-02   .4485E+00
   .5622E-02   .4970E+00
   .6339E-02   .5105E+00
   .7764E-02   .5427E+00
   .9193E-02   .5694E+00
   .1062E-01   .5878E+00
   .1205E-01   .5992E+00
   .1491E-01   .6288E+00
   .1776E-01   .6499E+00
   .2062E-01   .6679E+00
   .2490E-01   .6899E+00
   .2919E-01   .6959E+00
   .3632E-01   .6988E+00
   .4346E-01   .6895E+00
   .5774E-01   .6637E+00
   .7202E-01   .6197E+00
   .8630E-01   .5895E+00
   .1006E+00   .5390E+00
   .1149E+00   .4970E+00
   .1434E+00   .4236E+00
   .1720E+00   .3523E+00
   .2005E+00   .2922E+00
   .2291E+00   .2371E+00
   .2577E+00   .1911E+00
   .2862E+00   .1561E+00
   .3148E+00   .1230E+00
   .3433E+00   .9890E-01
   .3719E+00   .8447E-01
   .4005E+00   .6638E-01
   .4290E+00   .5791E-01
   .4576E+00   .4802E-01
   .4861E+00   .3916E-01
