# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .6892E-03   .4423E+00
   .1400E-02   .5547E+00
   .2112E-02   .6437E+00
   .2823E-02   .7072E+00
   .3533E-02   .7604E+00
   .4245E-02   .8009E+00
   .5668E-02   .8515E+00
   .7090E-02   .8822E+00
   .8512E-02   .8988E+00
   .9934E-02   .9112E+00
   .1278E-01   .9216E+00
   .1562E-01   .9300E+00
   .1847E-01   .9174E+00
   .2131E-01   .9158E+00
   .2554E-01   .8904E+00
   .2976E-01   .8777E+00
   .3398E-01   .8638E+00
   .4821E-01   .8088E+00
   .6243E-01   .7503E+00
   .7665E-01   .6985E+00
   .9088E-01   .6484E+00
   .1051E+00   .6075E+00
   .1336E+00   .5262E+00
   .1620E+00   .4638E+00
   .1904E+00   .4084E+00
   .2189E+00   .3608E+00
   .2473E+00   .3224E+00
   .2758E+00   .2856E+00
   .3042E+00   .2597E+00
   .3327E+00   .2366E+00
   .3611E+00   .2123E+00
   .3896E+00   .1923E+00
   .4180E+00   .1796E+00
   .4465E+00   .1614E+00
   .4749E+00   .1594E+00
