# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.8935E-03
 0.1701E-02     0.1640E-02
 0.2415E-02     0.2651E-02
 0.3129E-02     0.3218E-02
 0.3843E-02     0.4628E-02
 0.4557E-02     0.6558E-02
 0.5985E-02     0.1016E-01
 0.7413E-02     0.1266E-01
 0.8841E-02     0.1533E-01
 0.1027E-01     0.1680E-01
 0.1313E-01     0.1685E-01
 0.1598E-01     0.1691E-01
 0.1884E-01     0.1698E-01
 0.2169E-01     0.1850E-01
 0.2593E-01     0.1665E-01
 0.3017E-01     0.1760E-01
 0.3441E-01     0.1748E-01
 0.4869E-01     0.1802E-01
 0.6297E-01     0.1849E-01
 0.7725E-01     0.1856E-01
 0.9153E-01     0.2022E-01
 0.1058E+00     0.2065E-01
 0.1201E+00     0.2034E-01
 0.1344E+00     0.1990E-01
 0.1487E+00     0.1960E-01
 0.1629E+00     0.1885E-01
 0.1772E+00     0.1800E-01
 0.1915E+00     0.1669E-01
 0.2058E+00     0.1427E-01
 0.2343E+00     0.1256E-01
 0.2629E+00     0.8700E-02
 0.2915E+00     0.6151E-02
 0.3200E+00     0.3848E-02
 0.3486E+00     0.2741E-02
 0.3771E+00     0.1416E-02
