# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .2768E-02   .4749E+00
   .4193E-02   .5423E+00
   .5622E-02   .6126E+00
   .7051E-02   .6413E+00
   .8480E-02   .6731E+00
   .9906E-02   .7071E+00
   .1276E-01   .7340E+00
   .1562E-01   .7640E+00
   .1848E-01   .7815E+00
   .2133E-01   .7968E+00
   .2704E-01   .8027E+00
   .3276E-01   .7975E+00
   .3847E-01   .7819E+00
   .4704E-01   .7618E+00
   .5560E-01   .7326E+00
   .6417E-01   .7042E+00
   .7274E-01   .6750E+00
   .1013E+00   .5847E+00
   .1299E+00   .5055E+00
   .1584E+00   .4317E+00
   .1870E+00   .3606E+00
   .2155E+00   .3116E+00
   .2727E+00   .2281E+00
   .3298E+00   .1501E+00
   .3869E+00   .1079E+00
   .4440E+00   .6660E-01
   .5011E+00   .4367E-01
   .5583E+00   .3045E-01
   .6154E+00   .2239E-01
   .6725E+00   .1585E-01
   .7296E+00   .1259E-01
   .7867E+00   .1080E-01
   .8439E+00   .9041E-02
   .9010E+00   .8968E-02
   .9581E+00   .8982E-02
