# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.1283E-01
 0.4453E-01    0.1585E-01
 0.5658E-01    0.1765E-01
 0.6863E-01    0.1881E-01
 0.8068E-01    0.1968E-01
 0.9272E-01    0.1868E-01
 0.1048E+00    0.1774E-01
 0.1168E+00    0.1697E-01
 0.1289E+00    0.1549E-01
 0.1409E+00    0.1308E-01
 0.1530E+00    0.1156E-01
 0.1650E+00    0.9221E-02
 0.1771E+00    0.7993E-02
 0.1891E+00    0.6030E-02
 0.2012E+00    0.4903E-02
 0.2132E+00    0.3976E-02
 0.2253E+00    0.3003E-02
 0.2373E+00    0.2058E-02
 0.2494E+00    0.1558E-02
 0.2614E+00    0.1216E-02
 0.2735E+00    0.1042E-02
