# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.1992E+00
 0.1701E-02    0.2501E+00
 0.2415E-02    0.3163E+00
 0.3129E-02    0.3810E+00
 0.3843E-02    0.4663E+00
 0.4557E-02    0.5574E+00
 0.5985E-02    0.7024E+00
 0.7413E-02    0.8464E+00
 0.8841E-02    0.9395E+00
 0.1027E-01    0.9954E+00
 0.1313E-01    0.1053E+01
 0.1598E-01    0.1083E+01
 0.1884E-01    0.1089E+01
 0.2169E-01    0.1087E+01
 0.2593E-01    0.1085E+01
 0.3017E-01    0.1073E+01
 0.3441E-01    0.1059E+01
 0.4869E-01    0.1004E+01
 0.6297E-01    0.9454E+00
 0.7725E-01    0.8671E+00
 0.9153E-01    0.7929E+00
 0.1058E+00    0.7150E+00
 0.1201E+00    0.6319E+00
 0.1344E+00    0.5543E+00
 0.1487E+00    0.4772E+00
 0.1629E+00    0.4052E+00
 0.1772E+00    0.3396E+00
 0.1915E+00    0.2736E+00
 0.2058E+00    0.2206E+00
 0.2343E+00    0.1301E+00
 0.2629E+00    0.6655E-01
 0.2915E+00    0.3747E-01
 0.3200E+00    0.2065E-01
 0.3486E+00    0.1278E-01
 0.3771E+00    0.9785E-02
