# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
   .3235E-01     .6383E-02
   .4435E-01     .8809E-02
   .5636E-01     .1064E-01
   .6836E-01     .1260E-01
   .8036E-01     .1328E-01
   .9236E-01     .1308E-01
   .1044E+00     .1414E-01
   .1164E+00     .1460E-01
   .1284E+00     .1443E-01
   .1404E+00     .1382E-01
   .1524E+00     .1280E-01
   .1644E+00     .1248E-01
   .1764E+00     .1173E-01
   .1884E+00     .1057E-01
   .2004E+00     .1018E-01
   .2124E+00     .8665E-02
   .2244E+00     .7298E-02
   .2364E+00     .7277E-02
   .2484E+00     .5838E-02
   .2604E+00     .5301E-02
   .2724E+00     .4709E-02
