# Impinging Jet: H/D=2, Re=23000
# Cross wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.3899E-02
 0.4453E-01    0.5040E-02
 0.5658E-01    0.6189E-02
 0.6863E-01    0.6716E-02
 0.8068E-01    0.7214E-02
 0.9272E-01    0.7445E-02
 0.1048E+00    0.8000E-02
 0.1168E+00    0.7950E-02
 0.1289E+00    0.7744E-02
 0.1409E+00    0.7289E-02
 0.1530E+00    0.6861E-02
 0.1650E+00    0.6705E-02
 0.1771E+00    0.6331E-02
 0.1891E+00    0.5566E-02
 0.2012E+00    0.5224E-02
 0.2132E+00    0.4424E-02
 0.2253E+00    0.3926E-02
 0.2373E+00    0.3400E-02
 0.2494E+00    0.2766E-02
 0.2614E+00    0.2727E-02
 0.2735E+00    0.1979E-02
