# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.2104E+00
 0.1701E-02    0.3030E+00
 0.2415E-02    0.3906E+00
 0.3129E-02    0.4837E+00
 0.3843E-02    0.5562E+00
 0.4557E-02    0.6037E+00
 0.5985E-02    0.6513E+00
 0.7413E-02    0.6912E+00
 0.8841E-02    0.7141E+00
 0.1027E-01    0.7283E+00
 0.1313E-01    0.7322E+00
 0.1598E-01    0.7316E+00
 0.1884E-01    0.7265E+00
 0.2169E-01    0.7243E+00
 0.2593E-01    0.7110E+00
 0.3017E-01    0.7113E+00
 0.3441E-01    0.7099E+00
 0.4869E-01    0.6944E+00
 0.6297E-01    0.6820E+00
 0.7725E-01    0.6734E+00
 0.9153E-01    0.6710E+00
 0.1058E+00    0.6689E+00
 0.1201E+00    0.6733E+00
 0.1344E+00    0.6723E+00
 0.1487E+00    0.6765E+00
 0.1629E+00    0.6822E+00
 0.1772E+00    0.6860E+00
 0.1915E+00    0.6862E+00
 0.2058E+00    0.6898E+00
 0.2343E+00    0.6918E+00
 0.2629E+00    0.6972E+00
 0.2915E+00    0.6979E+00
 0.3200E+00    0.6857E+00
 0.3486E+00    0.6789E+00
 0.3771E+00    0.6696E+00
