# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .6892E-03   .5932E-02
   .1400E-02   .7236E-02
   .2112E-02   .8343E-02
   .2823E-02   .8657E-02
   .3533E-02   .9789E-02
   .4245E-02   .9878E-02
   .5668E-02   .1040E-01
   .7090E-02   .1050E-01
   .8512E-02   .9868E-02
   .9934E-02   .9902E-02
   .1278E-01   .8873E-02
   .1562E-01   .9041E-02
   .1847E-01   .8787E-02
   .2131E-01   .8077E-02
   .2554E-01   .8009E-02
   .2976E-01   .7688E-02
   .3398E-01   .7473E-02
   .4821E-01   .7057E-02
   .6243E-01   .7450E-02
   .7665E-01   .8423E-02
   .9088E-01   .9542E-02
   .1051E+00   .1080E-01
   .1336E+00   .1209E-01
   .1620E+00   .1376E-01
   .1904E+00   .1403E-01
   .2189E+00   .1426E-01
   .2473E+00   .1382E-01
   .2758E+00   .1280E-01
   .3042E+00   .1348E-01
   .3327E+00   .1301E-01
   .3611E+00   .1202E-01
   .3896E+00   .1272E-01
   .4180E+00   .1212E-01
   .4465E+00   .1099E-01
   .4749E+00   .1087E-01
