# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.7664E-01
 0.1701E-02    0.8247E-01
 0.2415E-02    0.9411E-01
 0.3129E-02    0.1001E+00
 0.3843E-02    0.1173E+00
 0.4557E-02    0.1403E+00
 0.5985E-02    0.1887E+00
 0.7413E-02    0.2377E+00
 0.8841E-02    0.2823E+00
 0.1027E-01    0.3171E+00
 0.1313E-01    0.3622E+00
 0.1598E-01    0.3807E+00
 0.1884E-01    0.4120E+00
 0.2169E-01    0.4213E+00
 0.2593E-01    0.4388E+00
 0.3017E-01    0.4506E+00
 0.3441E-01    0.4616E+00
 0.4869E-01    0.4632E+00
 0.6297E-01    0.4574E+00
 0.7725E-01    0.4301E+00
 0.9153E-01    0.4113E+00
 0.1058E+00    0.3824E+00
 0.1201E+00    0.3560E+00
 0.1344E+00    0.3298E+00
 0.1487E+00    0.3006E+00
 0.1629E+00    0.2737E+00
 0.1772E+00    0.2443E+00
 0.1915E+00    0.2221E+00
 0.2058E+00    0.1989E+00
 0.2343E+00    0.1500E+00
 0.2629E+00    0.1116E+00
 0.2915E+00    0.8080E-01
 0.3200E+00    0.5680E-01
 0.3486E+00    0.4438E-01
 0.3771E+00    0.3049E-01
