# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .2768E-02   .1554E-01
   .7764E-02   .1568E-01
   .1276E-01   .1486E-01
   .1776E-01   .1454E-01
   .2276E-01   .1226E-01
   .2776E-01   .1067E-01
   .3775E-01   .9950E-02
   .4775E-01   .9281E-02
   .5774E-01   .8585E-02
   .6774E-01   .8893E-02
   .8773E-01   .1009E-01
   .1077E+00   .1157E-01
   .1277E+00   .1292E-01
   .1577E+00   .1424E-01
   .1877E+00   .1530E-01
   .2177E+00   .1616E-01
   .2477E+00   .1501E-01
   .3476E+00   .1444E-01
   .4476E+00   .1395E-01
   .5475E+00   .1198E-01
   .6475E+00   .1104E-01
   .7475E+00   .9822E-02
   .9474E+00   .8577E-02
   .1147E+01   .7819E-02
   .1347E+01   .6228E-02
   .1547E+01   .5791E-02
   .1747E+01   .5565E-02
   .1947E+01   .4681E-02
   .2147E+01   .3889E-02
   .2347E+01   .3809E-02
   .2547E+01   .3443E-02
   .2747E+01   .2990E-02
   .2947E+01   .2797E-02
   .3147E+01   .2754E-02
   .3346E+01   .2583E-02
