# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
   .3235E-01    -.3201E-02
   .4435E-01    -.4481E-02
   .5636E-01    -.5744E-02
   .6836E-01    -.6439E-02
   .8036E-01    -.7139E-02
   .9236E-01    -.7975E-02
   .1044E+00    -.8733E-02
   .1164E+00    -.9077E-02
   .1284E+00    -.9530E-02
   .1404E+00    -.9458E-02
   .1524E+00    -.9530E-02
   .1644E+00    -.9259E-02
   .1764E+00    -.8779E-02
   .1884E+00    -.8983E-02
   .2004E+00    -.7957E-02
   .2124E+00    -.7866E-02
   .2244E+00    -.7219E-02
   .2364E+00    -.6723E-02
   .2484E+00    -.6476E-02
   .2604E+00    -.6266E-02
   .2724E+00    -.4979E-02
