# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.2060E-02
 0.4453E-01     -.3670E-02
 0.5658E-01     -.4546E-02
 0.6863E-01     -.5401E-02
 0.8068E-01     -.6722E-02
 0.9272E-01     -.6737E-02
 0.1048E+00     -.7387E-02
 0.1168E+00     -.7587E-02
 0.1289E+00     -.7933E-02
 0.1409E+00     -.7770E-02
 0.1530E+00     -.8098E-02
 0.1650E+00     -.8254E-02
 0.1771E+00     -.7554E-02
 0.1891E+00     -.6562E-02
 0.2012E+00     -.6850E-02
 0.2132E+00     -.6075E-02
 0.2253E+00     -.5539E-02
 0.2373E+00     -.5006E-02
 0.2494E+00     -.4816E-02
 0.2614E+00     -.4088E-02
 0.2735E+00     -.3483E-02
