# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.1895E-03
 0.1701E-02     0.3979E-03
 0.2415E-02     0.5249E-03
 0.3129E-02     0.7679E-03
 0.3843E-02     0.1045E-02
 0.4557E-02     0.1244E-02
 0.5985E-02     0.1554E-02
 0.7413E-02     0.1860E-02
 0.8841E-02     0.2057E-02
 0.1027E-01     0.2054E-02
 0.1313E-01     0.1924E-02
 0.1598E-01     0.1937E-02
 0.1884E-01     0.1924E-02
 0.2169E-01     0.1940E-02
 0.2593E-01     0.2004E-02
 0.3017E-01     0.1825E-02
 0.3441E-01     0.1752E-02
 0.4869E-01     0.2141E-02
 0.6297E-01     0.2755E-02
 0.7725E-01     0.3132E-02
 0.9153E-01     0.3497E-02
 0.1058E+00     0.3714E-02
 0.1201E+00     0.4403E-02
 0.1344E+00     0.4432E-02
 0.1487E+00     0.4452E-02
 0.1629E+00     0.4291E-02
 0.1772E+00     0.3864E-02
 0.1915E+00     0.4109E-02
 0.2058E+00     0.3859E-02
 0.2343E+00     0.3699E-02
 0.2629E+00     0.3589E-02
 0.2915E+00     0.3291E-02
 0.3200E+00     0.3227E-02
 0.3486E+00     0.3110E-02
 0.3771E+00     0.2760E-02
