# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.2419E-01
 0.1701E-02     0.3165E-01
 0.2415E-02     0.3508E-01
 0.3129E-02     0.3707E-01
 0.3843E-02     0.3711E-01
 0.4557E-02     0.3883E-01
 0.5985E-02     0.3777E-01
 0.7413E-02     0.3705E-01
 0.8841E-02     0.3795E-01
 0.1027E-01     0.3568E-01
 0.1313E-01     0.3625E-01
 0.1598E-01     0.3429E-01
 0.1884E-01     0.3399E-01
 0.2169E-01     0.3529E-01
 0.2593E-01     0.3479E-01
 0.3017E-01     0.3638E-01
 0.3441E-01     0.3727E-01
 0.4869E-01     0.4324E-01
 0.6297E-01     0.4558E-01
 0.7725E-01     0.4602E-01
 0.9153E-01     0.4590E-01
 0.1058E+00     0.4315E-01
 0.1201E+00     0.4138E-01
 0.1344E+00     0.3649E-01
 0.1487E+00     0.3090E-01
 0.1629E+00     0.2527E-01
 0.1772E+00     0.2058E-01
 0.1915E+00     0.1556E-01
 0.2058E+00     0.1217E-01
 0.2343E+00     0.6648E-02
 0.2629E+00     0.3335E-02
 0.2915E+00     0.2198E-02
 0.3200E+00     0.1242E-02
 0.3486E+00     0.6680E-03
 0.3771E+00     0.4998E-03
