# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.1361E-01
 0.1701E-02     0.1842E-01
 0.2415E-02     0.2289E-01
 0.3129E-02     0.2397E-01
 0.3843E-02     0.2845E-01
 0.4557E-02     0.2818E-01
 0.5985E-02     0.3019E-01
 0.7413E-02     0.3291E-01
 0.8841E-02     0.3194E-01
 0.1027E-01     0.3148E-01
 0.1313E-01     0.3204E-01
 0.1598E-01     0.3147E-01
 0.1884E-01     0.3122E-01
 0.2169E-01     0.3031E-01
 0.2593E-01     0.3142E-01
 0.3017E-01     0.3055E-01
 0.3441E-01     0.3051E-01
 0.4869E-01     0.3182E-01
 0.6297E-01     0.3349E-01
 0.7725E-01     0.3470E-01
 0.9153E-01     0.3487E-01
 0.1058E+00     0.3593E-01
 0.1201E+00     0.3413E-01
 0.1344E+00     0.3251E-01
 0.1487E+00     0.3075E-01
 0.1629E+00     0.2882E-01
 0.1772E+00     0.2582E-01
 0.1915E+00     0.2253E-01
 0.2058E+00     0.1841E-01
 0.2343E+00     0.1307E-01
 0.2629E+00     0.8912E-02
 0.2915E+00     0.5114E-02
 0.3200E+00     0.3215E-02
 0.3486E+00     0.2135E-02
 0.3771E+00     0.1475E-02
