# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.1078E+00
 0.1701E-02    0.1255E+00
 0.2415E-02    0.1431E+00
 0.3129E-02    0.1769E+00
 0.3843E-02    0.1871E+00
 0.4557E-02    0.2246E+00
 0.5985E-02    0.3012E+00
 0.7413E-02    0.3604E+00
 0.8841E-02    0.4163E+00
 0.1027E-01    0.4553E+00
 0.1313E-01    0.4909E+00
 0.1598E-01    0.5254E+00
 0.1884E-01    0.5548E+00
 0.2169E-01    0.5687E+00
 0.2593E-01    0.5874E+00
 0.3017E-01    0.5941E+00
 0.3441E-01    0.5843E+00
 0.4869E-01    0.5756E+00
 0.6297E-01    0.5471E+00
 0.7725E-01    0.5163E+00
 0.9153E-01    0.4735E+00
 0.1058E+00    0.4262E+00
 0.1201E+00    0.3855E+00
 0.1344E+00    0.3461E+00
 0.1487E+00    0.3080E+00
 0.1629E+00    0.2599E+00
 0.1772E+00    0.2346E+00
 0.1915E+00    0.2000E+00
 0.2058E+00    0.1674E+00
 0.2343E+00    0.1166E+00
 0.2629E+00    0.8143E-01
 0.2915E+00    0.5342E-01
 0.3200E+00    0.3774E-01
 0.3486E+00    0.3031E-01
 0.3771E+00    0.2298E-01
