# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .6892E-03   .1126E-01
   .1400E-02   .1871E-01
   .2112E-02   .2332E-01
   .2823E-02   .2512E-01
   .3533E-02   .2461E-01
   .4245E-02   .2498E-01
   .5668E-02   .2517E-01
   .7090E-02   .2488E-01
   .8512E-02   .2404E-01
   .9934E-02   .2496E-01
   .1278E-01   .2396E-01
   .1562E-01   .2366E-01
   .1847E-01   .2283E-01
   .2131E-01   .2257E-01
   .2554E-01   .2245E-01
   .2976E-01   .2271E-01
   .3398E-01   .2348E-01
   .4821E-01   .2494E-01
   .6243E-01   .2715E-01
   .7665E-01   .2811E-01
   .9088E-01   .2875E-01
   .1051E+00   .2852E-01
   .1336E+00   .2871E-01
   .1620E+00   .2413E-01
   .1904E+00   .2216E-01
   .2189E+00   .1657E-01
   .2473E+00   .1333E-01
   .2758E+00   .9202E-02
   .3042E+00   .6182E-02
   .3327E+00   .4460E-02
   .3611E+00   .2966E-02
   .3896E+00   .2023E-02
   .4180E+00   .1278E-02
   .4465E+00   .6781E-03
   .4749E+00   .5652E-03
