# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .6892E-03   .2507E+00
   .1400E-02   .3646E+00
   .2112E-02   .4433E+00
   .2823E-02   .4885E+00
   .3533E-02   .5258E+00
   .4245E-02   .5560E+00
   .5668E-02   .5994E+00
   .7090E-02   .6340E+00
   .8512E-02   .6600E+00
   .9934E-02   .6702E+00
   .1278E-01   .6954E+00
   .1562E-01   .7089E+00
   .1847E-01   .7168E+00
   .2131E-01   .7162E+00
   .2554E-01   .7203E+00
   .2976E-01   .7174E+00
   .3398E-01   .7110E+00
   .4821E-01   .6730E+00
   .6243E-01   .6244E+00
   .7665E-01   .5800E+00
   .9088E-01   .5287E+00
   .1051E+00   .4741E+00
   .1336E+00   .3879E+00
   .1620E+00   .3127E+00
   .1904E+00   .2428E+00
   .2189E+00   .1922E+00
   .2473E+00   .1521E+00
   .2758E+00   .1120E+00
   .3042E+00   .8233E-01
   .3327E+00   .6657E-01
   .3611E+00   .5188E-01
   .3896E+00   .4346E-01
   .4180E+00   .3407E-01
   .4465E+00   .2785E-01
   .4749E+00   .2444E-01
