# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.5046E-02
 0.4453E-01    0.7514E-02
 0.5658E-01    0.9185E-02
 0.6863E-01    0.1057E-01
 0.8068E-01    0.1254E-01
 0.9272E-01    0.1259E-01
 0.1048E+00    0.1228E-01
 0.1168E+00    0.1167E-01
 0.1289E+00    0.1019E-01
 0.1409E+00    0.8865E-02
 0.1530E+00    0.7896E-02
 0.1650E+00    0.6448E-02
 0.1771E+00    0.5017E-02
 0.1891E+00    0.3683E-02
 0.2012E+00    0.2763E-02
 0.2132E+00    0.2059E-02
 0.2253E+00    0.1419E-02
 0.2373E+00    0.1065E-02
 0.2494E+00    0.7294E-03
 0.2614E+00    0.6063E-03
 0.2735E+00    0.3961E-03
