# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
   .3235E-01     .7286E-02
   .4435E-01     .9219E-02
   .5636E-01     .1136E-01
   .6836E-01     .1228E-01
   .8036E-01     .1307E-01
   .9236E-01     .1355E-01
   .1044E+00     .1356E-01
   .1164E+00     .1355E-01
   .1284E+00     .1270E-01
   .1404E+00     .1232E-01
   .1524E+00     .1137E-01
   .1644E+00     .1039E-01
   .1764E+00     .9840E-02
   .1884E+00     .8075E-02
   .2004E+00     .7819E-02
   .2124E+00     .6678E-02
   .2244E+00     .5794E-02
   .2364E+00     .5588E-02
   .2484E+00     .4869E-02
   .2604E+00     .3948E-02
   .2724E+00     .3219E-02
