# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.1367E-02
 0.4453E-01     -.1341E-02
 0.5658E-01     -.1562E-02
 0.6863E-01     -.1411E-02
 0.8068E-01     -.1157E-02
 0.9272E-01     -.6337E-03
 0.1048E+00     -.2731E-03
 0.1168E+00     0.3845E-03
 0.1289E+00     0.8050E-03
 0.1409E+00     0.1410E-02
 0.1530E+00     0.2071E-02
 0.1650E+00     0.2390E-02
 0.1771E+00     0.2654E-02
 0.1891E+00     0.2790E-02
 0.2012E+00     0.2851E-02
 0.2132E+00     0.2819E-02
 0.2253E+00     0.2819E-02
 0.2373E+00     0.2601E-02
 0.2494E+00     0.2523E-02
 0.2614E+00     0.2448E-02
 0.2735E+00     0.2249E-02
