# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.3267E-02
 0.4453E-01    0.4933E-02
 0.5658E-01    0.6228E-02
 0.6863E-01    0.7273E-02
 0.8068E-01    0.8074E-02
 0.9272E-01    0.8614E-02
 0.1048E+00    0.9089E-02
 0.1168E+00    0.9132E-02
 0.1289E+00    0.9078E-02
 0.1409E+00    0.8810E-02
 0.1530E+00    0.8615E-02
 0.1650E+00    0.7899E-02
 0.1771E+00    0.7164E-02
 0.1891E+00    0.6093E-02
 0.2012E+00    0.5341E-02
 0.2132E+00    0.4120E-02
 0.2253E+00    0.3265E-02
 0.2373E+00    0.2430E-02
 0.2494E+00    0.1660E-02
 0.2614E+00    0.1230E-02
 0.2735E+00    0.8930E-03
