# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .2768E-02   .6917E+00
   .7764E-02   .7779E+00
   .1276E-01   .7896E+00
   .1776E-01   .7937E+00
   .2276E-01   .7793E+00
   .2776E-01   .7663E+00
   .3775E-01   .7470E+00
   .4775E-01   .7288E+00
   .5774E-01   .7021E+00
   .6774E-01   .6814E+00
   .8773E-01   .6454E+00
   .1077E+00   .6100E+00
   .1277E+00   .5810E+00
   .1577E+00   .5386E+00
   .1877E+00   .5076E+00
   .2177E+00   .4886E+00
   .2477E+00   .4701E+00
   .3476E+00   .4343E+00
   .4476E+00   .4247E+00
   .5475E+00   .4312E+00
   .6475E+00   .4359E+00
   .7475E+00   .4373E+00
   .9474E+00   .4468E+00
   .1147E+01   .4540E+00
   .1347E+01   .4611E+00
   .1547E+01   .4599E+00
   .1747E+01   .4557E+00
   .1947E+01   .4586E+00
   .2147E+01   .4542E+00
   .2347E+01   .4640E+00
   .2547E+01   .4626E+00
   .2747E+01   .4700E+00
   .2947E+01   .4692E+00
   .3147E+01   .4782E+00
   .3346E+01   .4780E+00
