# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .6892E-03   .8736E-01
   .1400E-02   .9914E-01
   .2112E-02   .1069E+00
   .2823E-02   .1129E+00
   .3533E-02   .1186E+00
   .4245E-02   .1189E+00
   .5668E-02   .1243E+00
   .7090E-02   .1268E+00
   .8512E-02   .1278E+00
   .9934E-02   .1351E+00
   .1278E-01   .1350E+00
   .1562E-01   .1438E+00
   .1847E-01   .1471E+00
   .2131E-01   .1525E+00
   .2554E-01   .1649E+00
   .2976E-01   .1727E+00
   .3398E-01   .1845E+00
   .4821E-01   .2247E+00
   .6243E-01   .2697E+00
   .7665E-01   .3091E+00
   .9088E-01   .3579E+00
   .1051E+00   .3974E+00
   .1336E+00   .4785E+00
   .1620E+00   .5498E+00
   .1904E+00   .6190E+00
   .2189E+00   .6768E+00
   .2473E+00   .7330E+00
   .2758E+00   .7869E+00
   .3042E+00   .8274E+00
   .3327E+00   .8682E+00
   .3611E+00   .9044E+00
   .3896E+00   .9305E+00
   .4180E+00   .9563E+00
   .4465E+00   .9832E+00
   .4749E+00   .1001E+01
