# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .6892E-03   .4535E+00
   .1400E-02   .5493E+00
   .2112E-02   .6217E+00
   .2823E-02   .6678E+00
   .3533E-02   .6980E+00
   .4245E-02   .7237E+00
   .5668E-02   .7458E+00
   .7090E-02   .7526E+00
   .8512E-02   .7584E+00
   .9934E-02   .7620E+00
   .1278E-01   .7642E+00
   .1562E-01   .7591E+00
   .1847E-01   .7470E+00
   .2131E-01   .7491E+00
   .2554E-01   .7346E+00
   .2976E-01   .7325E+00
   .3398E-01   .7176E+00
   .4821E-01   .6909E+00
   .6243E-01   .6595E+00
   .7665E-01   .6376E+00
   .9088E-01   .6128E+00
   .1051E+00   .5939E+00
   .1336E+00   .5572E+00
   .1620E+00   .5287E+00
   .1904E+00   .5115E+00
   .2189E+00   .4985E+00
   .2473E+00   .4931E+00
   .2758E+00   .4945E+00
   .3042E+00   .4883E+00
   .3327E+00   .4948E+00
   .3611E+00   .4984E+00
   .3896E+00   .4977E+00
   .4180E+00   .5072E+00
   .4465E+00   .5195E+00
   .4749E+00   .5245E+00
