# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.6855E-02
 0.4453E-01    0.8521E-02
 0.5658E-01    0.1036E-01
 0.6863E-01    0.1124E-01
 0.8068E-01    0.1242E-01
 0.9272E-01    0.1274E-01
 0.1048E+00    0.1298E-01
 0.1168E+00    0.1314E-01
 0.1289E+00    0.1316E-01
 0.1409E+00    0.1241E-01
 0.1530E+00    0.1237E-01
 0.1650E+00    0.1196E-01
 0.1771E+00    0.1109E-01
 0.1891E+00    0.1018E-01
 0.2012E+00    0.9428E-02
 0.2132E+00    0.8419E-02
 0.2253E+00    0.7671E-02
 0.2373E+00    0.6864E-02
 0.2494E+00    0.6267E-02
 0.2614E+00    0.5229E-02
 0.2735E+00    0.4862E-02
