# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.8734E-02
 0.1701E-02     0.1367E-01
 0.2415E-02     0.1652E-01
 0.3129E-02     0.1824E-01
 0.3843E-02     0.1854E-01
 0.4557E-02     0.1726E-01
 0.5985E-02     0.1488E-01
 0.7413E-02     0.1355E-01
 0.8841E-02     0.1237E-01
 0.1027E-01     0.1285E-01
 0.1313E-01     0.1214E-01
 0.1598E-01     0.1162E-01
 0.1884E-01     0.1100E-01
 0.2169E-01     0.1030E-01
 0.2593E-01     0.9857E-02
 0.3017E-01     0.9556E-02
 0.3441E-01     0.9314E-02
 0.4869E-01     0.9399E-02
 0.6297E-01     0.1038E-01
 0.7725E-01     0.1216E-01
 0.9153E-01     0.1516E-01
 0.1058E+00     0.1781E-01
 0.1201E+00     0.2020E-01
 0.1344E+00     0.2119E-01
 0.1487E+00     0.2069E-01
 0.1629E+00     0.1921E-01
 0.1772E+00     0.1649E-01
 0.1915E+00     0.1434E-01
 0.2058E+00     0.1136E-01
 0.2343E+00     0.6424E-02
 0.2629E+00     0.2779E-02
 0.2915E+00     0.1217E-02
 0.3200E+00     0.7200E-03
 0.3486E+00     0.4734E-03
 0.3771E+00     0.3070E-03
