# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
   .3235E-01    -.3771E-02
   .4435E-01    -.5587E-02
   .5636E-01    -.7096E-02
   .6836E-01    -.8694E-02
   .8036E-01    -.9302E-02
   .9236E-01    -.1010E-01
   .1044E+00    -.1073E-01
   .1164E+00    -.1108E-01
   .1284E+00    -.1078E-01
   .1404E+00    -.1037E-01
   .1524E+00    -.1006E-01
   .1644E+00    -.9617E-02
   .1764E+00    -.9369E-02
   .1884E+00    -.8268E-02
   .2004E+00    -.8271E-02
   .2124E+00    -.6861E-02
   .2244E+00    -.5936E-02
   .2364E+00    -.5922E-02
   .2484E+00    -.4876E-02
   .2604E+00    -.4320E-02
   .2724E+00    -.4133E-02
