# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.5826E-01
 0.1701E-02    0.4174E-01
 0.2415E-02    0.3647E-01
 0.3129E-02    0.3641E-01
 0.3843E-02    0.3966E-01
 0.4557E-02    0.3978E-01
 0.5985E-02    0.4625E-01
 0.7413E-02    0.5038E-01
 0.8841E-02    0.5448E-01
 0.1027E-01    0.5779E-01
 0.1313E-01    0.5923E-01
 0.1598E-01    0.6547E-01
 0.1884E-01    0.7218E-01
 0.2169E-01    0.7900E-01
 0.2593E-01    0.9262E-01
 0.3017E-01    0.9798E-01
 0.3441E-01    0.1032E+00
 0.4869E-01    0.1442E+00
 0.6297E-01    0.1868E+00
 0.7725E-01    0.2339E+00
 0.9153E-01    0.2786E+00
 0.1058E+00    0.3229E+00
 0.1201E+00    0.3709E+00
 0.1344E+00    0.4198E+00
 0.1487E+00    0.4587E+00
 0.1629E+00    0.4813E+00
 0.1772E+00    0.5161E+00
 0.1915E+00    0.5530E+00
 0.2058E+00    0.5801E+00
 0.2343E+00    0.6489E+00
 0.2629E+00    0.7060E+00
 0.2915E+00    0.7627E+00
 0.3200E+00    0.8079E+00
 0.3486E+00    0.8497E+00
 0.3771E+00    0.8880E+00
