# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.2526E+00
 0.1701E-02    0.3072E+00
 0.2415E-02    0.3618E+00
 0.3129E-02    0.3790E+00
 0.3843E-02    0.4375E+00
 0.4557E-02    0.4749E+00
 0.5985E-02    0.5269E+00
 0.7413E-02    0.5589E+00
 0.8841E-02    0.5881E+00
 0.1027E-01    0.6048E+00
 0.1313E-01    0.6225E+00
 0.1598E-01    0.6374E+00
 0.1884E-01    0.6429E+00
 0.2169E-01    0.6488E+00
 0.2593E-01    0.6526E+00
 0.3017E-01    0.6520E+00
 0.3441E-01    0.6495E+00
 0.4869E-01    0.6306E+00
 0.6297E-01    0.5966E+00
 0.7725E-01    0.5500E+00
 0.9153E-01    0.5123E+00
 0.1058E+00    0.4638E+00
 0.1201E+00    0.4155E+00
 0.1344E+00    0.3775E+00
 0.1487E+00    0.3356E+00
 0.1629E+00    0.2944E+00
 0.1772E+00    0.2544E+00
 0.1915E+00    0.2231E+00
 0.2058E+00    0.1877E+00
 0.2343E+00    0.1396E+00
 0.2629E+00    0.1034E+00
 0.2915E+00    0.7704E-01
 0.3200E+00    0.5896E-01
 0.3486E+00    0.4986E-01
 0.3771E+00    0.4249E-01
