# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.1359E-02
 0.4453E-01     -.1764E-02
 0.5658E-01     -.2582E-02
 0.6863E-01     -.3215E-02
 0.8068E-01     -.4243E-02
 0.9272E-01     -.4693E-02
 0.1048E+00     -.5071E-02
 0.1168E+00     -.5125E-02
 0.1289E+00     -.4743E-02
 0.1409E+00     -.4122E-02
 0.1530E+00     -.3576E-02
 0.1650E+00     -.2926E-02
 0.1771E+00     -.2064E-02
 0.1891E+00     -.1279E-02
 0.2012E+00     -.9815E-03
 0.2132E+00     -.5252E-03
 0.2253E+00     -.2890E-03
 0.2373E+00     0.3990E-04
 0.2494E+00     -.2870E-04
 0.2614E+00     -.7142E-04
 0.2735E+00     -.3998E-04
