# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
   .3235E-01     .6761E-02
   .3658E-01     .7640E-02
   .4080E-01     .7974E-02
   .4502E-01     .8860E-02
   .5702E-01     .1103E-01
   .6902E-01     .1195E-01
   .8103E-01     .1274E-01
   .9303E-01     .1338E-01
   .1050E+00     .1389E-01
   .1170E+00     .1424E-01
   .1290E+00     .1384E-01
   .1410E+00     .1412E-01
   .1530E+00     .1374E-01
   .1650E+00     .1319E-01
   .1770E+00     .1351E-01
   .1890E+00     .1282E-01
   .2010E+00     .1177E-01
   .2130E+00     .1196E-01
   .2250E+00     .1145E-01
   .2370E+00     .1053E-01
   .2490E+00     .1064E-01
