# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .2768E-02   .9675E-02
   .3480E-02   .1189E-01
   .4193E-02   .1289E-01
   .4909E-02   .1387E-01
   .5622E-02   .1473E-01
   .6339E-02   .1559E-01
   .7764E-02   .1578E-01
   .9193E-02   .1582E-01
   .1062E-01   .1573E-01
   .1205E-01   .1643E-01
   .1491E-01   .1636E-01
   .1776E-01   .1550E-01
   .2062E-01   .1541E-01
   .2490E-01   .1590E-01
   .2919E-01   .1592E-01
   .3632E-01   .1598E-01
   .4346E-01   .1586E-01
   .5774E-01   .1746E-01
   .7202E-01   .2047E-01
   .8630E-01   .2167E-01
   .1006E+00   .2196E-01
   .1149E+00   .2257E-01
   .1434E+00   .2395E-01
   .1720E+00   .2293E-01
   .2005E+00   .2088E-01
   .2291E+00   .1679E-01
   .2577E+00   .1356E-01
   .2862E+00   .1101E-01
   .3148E+00   .8556E-02
   .3433E+00   .6208E-02
   .3719E+00   .5392E-02
   .4005E+00   .3306E-02
   .4290E+00   .2604E-02
   .4576E+00   .2057E-02
   .4861E+00   .1377E-02
