# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.3433E+00
 0.1701E-02    0.4456E+00
 0.2415E-02    0.5542E+00
 0.3129E-02    0.6215E+00
 0.3843E-02    0.6730E+00
 0.4557E-02    0.7340E+00
 0.5985E-02    0.8327E+00
 0.7413E-02    0.9083E+00
 0.8841E-02    0.9620E+00
 0.1027E-01    0.9981E+00
 0.1313E-01    0.1031E+01
 0.1598E-01    0.1048E+01
 0.1884E-01    0.1049E+01
 0.2169E-01    0.1042E+01
 0.2593E-01    0.1027E+01
 0.3017E-01    0.1006E+01
 0.3441E-01    0.9838E+00
 0.4869E-01    0.8858E+00
 0.6297E-01    0.7834E+00
 0.7725E-01    0.6848E+00
 0.9153E-01    0.5854E+00
 0.1058E+00    0.4963E+00
 0.1201E+00    0.4222E+00
 0.1344E+00    0.3406E+00
 0.1487E+00    0.2694E+00
 0.1629E+00    0.2186E+00
 0.1772E+00    0.1731E+00
 0.1915E+00    0.1380E+00
 0.2058E+00    0.1104E+00
 0.2343E+00    0.7356E-01
 0.2629E+00    0.5335E-01
 0.2915E+00    0.4251E-01
 0.3200E+00    0.3511E-01
 0.3486E+00    0.3048E-01
 0.3771E+00    0.2748E-01
